ID	CFT	CAZ	CPE	ETP	MER	CIP	TGC	NIT	CL	G	AN	PTZ	FOS	CTX	CAZ	CFT	CXM	A	U	MFX	LVX	CIP	NOR	FLX	NA	MER	CHL	CPE	CBT	CPD	PTZ	ETP
33	128	64	32	4	0.5	128	1	128	0.12	64	2	256	4	256	64	256	256	256	128	32	16	64	128	32	128	0.25	8	32	8	256	256	2
34	256	256	256	256	32	256	0.5	128	0.5	64	4	512	8	256	256	256	256	256	128	32	32	128	128	32	128	32	8	256	256	256	256	32
35	256	256	256	128	128	256	0.5	128	0.25	128	4	512	16	256	256	256	256	256	128	32	16	64	128	32	128	32	4	256	128	256	256	32
36	128	64	64	128	64	8	1	128	0.12	1	2	512	16	256	32	256	256	256	128	8	4	8	64	8	128	32	8	64	16	256	256	32
43	128	256	256	16	1	16	1	128	0.12	64	4	128	8	256	256	256	256	256	64	2	2	32	128	8	128	0.5	8	256	64	256	128	4
46	128	32	32	8	8	8	1	128	0.12	0.5	4	512	8	128	16	128	256	256	128	8	4	8	32	8	128	8	8	32	2	256	256	16
49	256	128	64	8	0.5	128	1	128	0.25	0.5	4	256	4	128	128	256	256	256	128	32	64	128	128	64	128	0.25	8	64	16	256	256	4
52	128	128	256	64	64	16	1	128	0.25	128	4	512	64	256	256	256	256	256	128	2	2	16	128	4	128	32	8	256	64	256	256	32
54	256	64	32	4	1	128	2	128	0.12	64	4	512	8	256	64	256	256	256	128	128	32	128	128	32	128	0.5	16	64	8	256	256	4
68	256	128	256	64	32	8	1	128	0.25	1	16	512	64	256	256	256	256	256	128	4	2	8	64	8	128	32	8	256	128	256	256	32
50	2	1	4	64	32	32	1	128	0.25	128	1	512	32	4	0.5	2	32	256	128	32	32	32	128	32	128	16	8	4	0.25	4	256	32
